Burswood Dome,"Perth, Australia",22-Oct-10,https://www.metallica.com/events/event-10802.html
Brisbane Entertainment Centre,"Brisbane, Australia",19-Oct-10,https://www.metallica.com/events/event-10801.html
Brisbane Entertainment Centre,"Brisbane, Australia",18-Oct-10,https://www.metallica.com/events/event-10800.html
Brisbane Entertainment Centre,"Brisbane, Australia",16-Oct-10,https://www.metallica.com/events/event-10799.html
Vector Arena,"Auckland, New Zealand",13-Oct-10,https://www.metallica.com/events/event-10798.html
Vector Arena,"Auckland, New Zealand",12-Oct-10,https://www.metallica.com/events/event-10797.html
Saitama Super Arena,"Tokyo, Japan",26-Sep-10,https://www.metallica.com/events/event-10796.html
Saitama Super Arena,"Tokyo, Japan",25-Sep-10,https://www.metallica.com/events/event-10795.html
Cbs Canterbury Arena,"Christchurch, New Zealand",22-Sep-10,https://www.metallica.com/events/event-10794.html
Cbs Canterbury Arena,"Christchurch, New Zealand",21-Sep-10,https://www.metallica.com/events/event-10793.html
Acer Arena,"Sydney, Australia",18-Sep-10,https://www.metallica.com/events/event-10792.html
Rod Laver Arena,"Melbourne, Australia",16-Sep-10,https://www.metallica.com/events/event-10791.html
