Best Performance by an Actress in a Supporting Role in any Motion Picture,Marjorie Main,1957
Best Performance by an Actress in a Supporting Role in any Motion Picture,Dorothy Malone,1957
Best Performance by an Actress in a Supporting Role in any Motion Picture,Patty McCormack,1957
Best Performance by an Actress in a Supporting Role in any Motion Picture,Mildred Dunnock,1957
Best Performance by an Actor in a Supporting Role in any Motion Picture,Earl Holliman,1957
Best Performance by an Actor in a Supporting Role in any Motion Picture,Eddie Albert,1957
Best Performance by an Actor in a Supporting Role in any Motion Picture,Oscar Homolka,1957
Best Performance by an Actor in a Supporting Role in any Motion Picture,Anthony Quinn,1957
Best Performance by an Actor in a Supporting Role in any Motion Picture,Eli Wallach,1957
Best Director - Motion Picture,Elia Kazan,1957
Best Director - Motion Picture,Michael Anderson,1957
Best Director - Motion Picture,Vincente Minnelli,1957
Best Director - Motion Picture,George Stevens,1957
Best Director - Motion Picture,King Vidor,1957
Cecil B. deMille Award,Mervyn LeRoy,1957
Promoting International Understanding,Douglas Sirk,1957
Promoting International Understanding,Irving Rapper,1957
Promoting International Understanding,William Wyler,1957
Promoting International Understanding,Walter Lang,1957
Promoting International Understanding,Daniel Mann,1957
Television Achievement,Cheyenne,1957
Television Achievement,Matinee Theatre,1957
Television Achievement,"Mickey Mouse Club, The",1957
Television Achievement,Playhouse 90,1957
Television Achievement,This Is Your Life,1957
Special Achievement Award,Dimitri Tiomkin,1957
Special Achievement Award,Edwin Schallert,1957
Special Achievement Award,Elizabeth Taylor,1957
New Star Of The Year - Actress,Carroll Baker,1957
New Star Of The Year - Actress,Carroll Baker,1957
New Star Of The Year - Actress,Jayne Mansfield,1957
New Star Of The Year - Actress,Natalie Wood,1957
New Star Of The Year - Actress,Jayne Mansfield,1957
New Foreign Star Of The Year - Actress,Taina Elg,1957
New Foreign Star Of The Year - Actor,Jacques Bergerac,1957
New Star Of The Year - Actor,John Kerr,1957
New Star Of The Year - Actor,Paul Newman,1957
New Star Of The Year - Actor,Anthony Perkins,1957
Actress In A Leading Role - Musical Or Comedy,Deborah Kerr,1957
Actress In A Leading Role - Musical Or Comedy,Judy Holliday,1957
Actress In A Leading Role - Musical Or Comedy,Machiko Kyo,1957
Actress In A Leading Role - Musical Or Comedy,Marilyn Monroe,1957
Actress In A Leading Role - Musical Or Comedy,Debbie Reynolds,1957
Foreign Film - Foreign Language,"West Germany, Gottfried Reinhardt",1957
Foreign Film - Foreign Language,"Greece, Michael Cacoyannis",1957
Foreign Film - Foreign Language,"Japan, Keisuke Kinoshita",1957
Foreign Film - Foreign Language,"Italy, King Vidor",1957
Foreign Film - Foreign Language,"Finland, Erik Blomberg",1957
Foreign Film - English Language,"United Kingdom, Laurence Olivier",1957
Henrietta Award (World Film Favorites),James Dean,1957
Henrietta Award (World Film Favorites),Kim Novak,1957
Hollywood Citizenship Award,Ronald Reagan,1957
Best Motion Picture - Drama,"Bridge on the River Kwai, The",1958
Best Motion Picture - Drama,12 Angry Men (1957),1958
Best Motion Picture - Drama,Wild is the Wind,1958
Best Motion Picture - Drama,Witness for the Prosecution,1958
Best Motion Picture - Drama,Sayonara,1958
Best Motion Picture - Musical or Comedy,Les Girls,1958
Best Motion Picture - Musical or Comedy,Don't Go Near The Water,1958
Best Motion Picture - Musical or Comedy,Love in the Afternoon,1958
Best Motion Picture - Musical or Comedy,Pal Joey,1958
Best Motion Picture - Musical or Comedy,Silk Stockings,1958
Best Performance by an Actress in a Motion Picture - Drama,Joanne Woodward,1958
Best Performance by an Actress in a Motion Picture - Drama,Marlene Dietrich,1958
Best Performance by an Actress in a Motion Picture - Drama,Deborah Kerr,1958
Best Performance by an Actress in a Motion Picture - Drama,Anna Magnani,1958
Best Performance by an Actress in a Motion Picture - Drama,Eva Marie Saint,1958
Best Performance by an Actor in a Motion Picture - Drama,Alec Guinness,1958
Best Performance by an Actor in a Motion Picture - Drama,Marlon Brando,1958
Best Performance by an Actor in a Motion Picture - Drama,Henry Fonda,1958
Best Performance by an Actor in a Motion Picture - Drama,Anthony Franciosa,1958
Best Performance by an Actor in a Motion Picture - Drama,Charles Laughton,1958
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Frank Sinatra,1958
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Glenn Ford,1958
Best Performance by an Actor in a Motion Picture - Musical or Comedy,David Niven,1958
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tony Randall,1958
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Maurice Chevalier,1958
Best Performance by an Actress in a Supporting Role in any Motion Picture,Elsa Lanchester,1958
Best Performance by an Actress in a Supporting Role in any Motion Picture,Mildred Dunnock,1958
Best Performance by an Actress in a Supporting Role in any Motion Picture,Hope Lange,1958
Best Performance by an Actress in a Supporting Role in any Motion Picture,Heather Sears,1958
Best Performance by an Actress in a Supporting Role in any Motion Picture,Miyoshi Umeki,1958
Best Performance by an Actor in a Supporting Role in any Motion Picture,Red Buttons,1958
Best Performance by an Actor in a Supporting Role in any Motion Picture,Sessue Hayakawa,1958
Best Performance by an Actor in a Supporting Role in any Motion Picture,Nigel Patrick,1958
Best Performance by an Actor in a Supporting Role in any Motion Picture,Ed Wynn,1958
Best Performance by an Actor in a Supporting Role in any Motion Picture,Lee J. Cobb,1958
Best Director - Motion Picture,David Lean,1958
Best Director - Motion Picture,Joshua Logan,1958
Best Director - Motion Picture,Sidney Lumet,1958
Best Director - Motion Picture,Billy Wilder,1958
Best Director - Motion Picture,Fred Zinnemann,1958
Cecil B. deMille Award,Buddy Adler,1958
Promoting International Understanding,Gene Kelly,1958
Television Achievement,Jack Benny,1958
Television Achievement,Eddie Fisher,1958
Television Achievement,Alfred Hitchcock,1958
Television Achievement,Mike Wallace,1958
Special Achievement Award,Hugo Friedhofer,1958
Special Achievement Award,Zsa Zsa Gabor,1958
Special Achievement Award,Bob Hope,1958
Special Achievement Award,Le Roy Prinze,1958
Special Achievement Award,Jean Simmons,1958
New Star Of The Year - Actress,Sandra Dee,1958
New Star Of The Year - Actress,Carolyn Jones,1958
New Star Of The Year - Actress,Diane Varsi,1958
New Star Of The Year - Actor,James Garner,1958
New Star Of The Year - Actor,John Saxon,1958
New Star Of The Year - Actor,Patrick Wayne,1958
Actress In A Leading Role - Musical Or Comedy,Taina Elg,1958
Actress In A Leading Role - Musical Or Comedy,Kay Kendall,1958
Actress In A Leading Role - Musical Or Comedy,Cyd Charisse,1958
Actress In A Leading Role - Musical Or Comedy,Audrey Hepburn,1958
Actress In A Leading Role - Musical Or Comedy,Jean Simmons,1958
Foreign Film - Foreign Language,"West Germany, Kurt Hoffmann",1958
Foreign Film - Foreign Language,"Mexico, Ismael Rodríguez",1958
Foreign Film - Foreign Language,"Japan, Heinosuke Gosho",1958
Foreign Film - English Language,"United Kingdom, J. Lee Thompson",1958
Henrietta Award (World Film Favorites),Tony Curtis,1958
Henrietta Award (World Film Favorites),Doris Day,1958
Best Motion Picture - Drama,"Defiant Ones, The",1959
